Customer_ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Score_Numeric,Customer_Segment,Cluster,PCA1,PCA2,Cluster_Name
CUST0001,39,8,943.7708423935009,4,5,5,455,4.666666666666667,Champions,0,1.9793494660039188,0.3546785456323729,VIP Customers
CUST0002,25,6,617.5317254115159,4,4,4,444,4.0,Champions,0,0.7621938071791131,-0.45146464056250313,VIP Customers
CUST0003,38,5,548.8606916488864,4,3,3,433,3.3333333333333335,Loyal Customers,0,0.2507520757022564,-0.5049476812463646,VIP Customers
CUST0004,87,3,247.11787763708224,2,1,1,211,1.3333333333333333,About to Sleep,1,-1.2699972774343051,-0.5471923850317109,At Risk
CUST0005,109,4,337.3411846868325,2,2,2,222,2.0,About to Sleep,1,-0.9094836479296061,-0.059507643910292125,At Risk
CUST0006,100,4,523.0773190384444,2,2,3,223,2.3333333333333335,About to Sleep,1,-0.44360099333055303,0.06516009470172185,At Risk
CUST0007,72,5,559.9084372987143,3,3,3,333,3.0,Loyal Customers,1,0.08205729415651555,-0.09536905726686447,At Risk
CUST0008,77,5,530.19327924288,3,3,3,333,3.0,Loyal Customers,1,-0.012724151365235054,-0.073856517400956,At Risk
CUST0009,61,3,231.0294450041772,3,1,1,311,1.6666666666666667,New Customers,1,-1.158053796906633,-0.8698387998793041,At Risk
CUST0010,178,5,557.3067709315343,1,3,3,133,2.3333333333333335,At Risk,1,-0.5265841920769648,1.135784765337824,At Risk
CUST0011,129,5,536.2846436745683,2,3,3,233,2.6666666666666665,At Risk,1,-0.2948530081091066,0.5392082960788955,At Risk
CUST0012,60,9,965.1071979104096,3,5,5,355,4.333333333333333,Loyal Customers,0,2.1917441921387377,0.7456101133517995,VIP Customers
CUST0013,20,6,586.1226307187316,4,4,3,443,3.6666666666666665,Loyal Customers,0,0.7205012637495959,-0.5484947417456902,VIP Customers
CUST0014,35,4,654.9987467448761,4,2,4,424,3.3333333333333335,Potential Loyalists,0,0.22060555445354293,-0.5287779641034406,VIP Customers
CUST0015,48,5,346.1491258466327,3,3,2,332,2.6666666666666665,Promising,1,-0.25871924461261336,-0.6389431796412818,At Risk
CUST0016,88,2,192.70532093807734,2,1,1,211,1.3333333333333333,About to Sleep,1,-1.6813584635045695,-0.7227992033543218,At Risk
CUST0017,93,7,995.148186063514,2,4,5,245,3.6666666666666665,At Risk,0,1.5027722936103962,0.9269566943167906,VIP Customers
CUST0018,347,2,143.1831747224085,1,1,1,111,1.0,About to Sleep,1,-3.264887135908912,2.232067767498267,At Risk
CUST0019,7,11,1103.990274827222,5,5,5,555,5.0,Champions,0,3.3716200307508037,0.5400655541726292,VIP Customers
CUST0020,169,2,172.80062377308428,1,1,1,111,1.0,About to Sleep,1,-2.186455440312732,0.19585257950161233,At Risk
CUST0021,40,9,1200.7781642166374,4,5,5,455,4.666666666666667,Champions,0,2.831675980453482,0.803876345008315,VIP Customers
CUST0022,64,8,1134.7927192240497,3,5,5,355,4.333333333333333,Loyal Customers,0,2.2636723383133304,0.8818060902719089,VIP Customers
CUST0023,203,5,678.8837871468821,1,3,4,134,2.6666666666666665,At Risk,1,-0.397312984436541,1.577114835425872,At Risk
CUST0024,308,1,159.2750839040828,1,1,1,111,1.0,About to Sleep,1,-3.291346819258114,1.677768250445889,At Risk
CUST0025,3,7,660.0171591136494,5,4,4,544,4.333333333333333,Champions,0,1.2663540539789788,-0.535138126648622,VIP Customers
CUST0026,105,3,216.9402761604794,2,1,1,211,1.3333333333333333,About to Sleep,1,-1.4397435426406613,-0.3748664136398443,At Risk
CUST0027,23,5,303.50580107282497,4,3,2,432,3.0,Promising,1,-0.21175278472721287,-0.9827525502460897,At Risk
CUST0028,51,5,567.2403493922667,3,3,3,333,3.0,Loyal Customers,0,0.21785659168168206,-0.3308552816181398,VIP Customers
CUST0029,62,8,909.6050112373911,3,5,5,355,4.333333333333333,Loyal Customers,0,1.7722630552688055,0.5803020653573222,VIP Customers
CUST0030,86,3,659.0087627623409,2,1,4,214,2.3333333333333335,About to Sleep,1,-0.34466879752186347,-0.04995596956895848,At Risk
CUST0031,129,3,285.14212227003594,2,1,1,211,1.3333333333333333,About to Sleep,1,-1.4239576094602315,-0.011125079723363946,At Risk
CUST0032,20,5,352.2113187206054,4,3,2,432,3.0,Promising,1,-0.08594518366242883,-0.9575129877263931,At Risk
CUST0033,66,2,267.29808632448373,3,1,1,311,1.6666666666666667,New Customers,1,-1.3896967006454959,-0.8868312245459229,At Risk
CUST0034,91,4,528.4699956627542,2,2,3,223,2.3333333333333335,About to Sleep,1,-0.38037669364882,-0.032982221855395066,At Risk
CUST0035,56,5,548.954978403737,3,3,3,333,3.0,Loyal Customers,0,0.14859478139136448,-0.29522151152225323,VIP Customers
CUST0036,82,5,664.4060934081809,2,3,4,234,3.0,At Risk,0,0.2585014013779791,0.15018513549540213,VIP Customers
CUST0037,321,3,519.7878459503437,1,1,3,113,1.6666666666666667,About to Sleep,1,-1.9919802440162402,2.5146107281562426,At Risk
CUST0038,261,3,606.9536506490886,1,1,4,114,2.0,About to Sleep,1,-1.4561364479516616,1.9236030722882465,At Risk
CUST0039,4,7,802.0224391129527,5,4,5,545,4.666666666666667,Champions,0,1.5777264860636546,-0.348048996485052,VIP Customers
CUST0040,126,6,842.8692680354206,2,4,5,245,3.6666666666666665,At Risk,0,0.6909146688216333,1.003077745223307,VIP Customers
CUST0041,19,7,918.5483240519367,5,4,5,545,4.666666666666667,Champions,0,1.752590884625643,-0.02940930162092284,VIP Customers
